psid,study1,scholarshipCondition,gpa1,gpa2,gpa1value,gpa2value,name1,name2,club1,club2,scholarship,Q40,Q102,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q13,Q14,Q103_4,Q42,Q46,Q48,Q50,Q52_1,Q52_2,Q54,Q56,Q58,Q60_1,Q60_2,Q62,Q64,Q66,Q68_1,Q68_2,Q70,Q72,Q74,Q76_1,Q76_2,Q78,Q126,Q72,Q80,Q82,Q84,Q86,Q88,Q90,Q92,Q94,Q96,Q98_1,Q98_2,Q100,Q102,Q104,Q106_1,Q106_2,Q108,Q110,Q112,Q114_1,Q114_2,Q116,Q118,Q120,Q122_1,Q122_2,Q124
EQMtgbNuEMs-N3YLYokmSQ**,2,,,,,,,,,,,,1,1,1,56,1,4,3,2,2,,2,,0,59,0,0,33,44,,,,1,1,,,,,,,,,,,,,,,,1,1,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-nfRN4EOwnw**,2,,,,,,,,,,,,1,2,4,9,1,9,5,4,1,,,1,91,0,81,91,0,61,,,,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-oX_q59YtXA**,3,,,,,,,,,,,,1,2,1,27,1,6,5,1,2,,1,,8,79,20,54,64,65,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,7,3,1,1,1,5,5,1,1,1,3,7,1,1,1,5,5,1
EQMtgbNuEMs-PBxfZsWCUg**,2,,,,,,,,,,,,1,1,2,15,2,1,2,1,2,,2,,100,100,100,100,100,100,,,,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-pcEyxR9z1A**,3,,,,,,,,,,,,1,2,1,55,1,1,2,3,2,,2,,1,92,3,81,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,7,3,1,1,1,10,0,1,1,1,9,1,1,1,1,5,5,1
EQMtgbNuEMs-PYAUHSbi-Q**,1,1,2,1,3.5,4,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,2,32,1,4,2,3,1,,,2,60,18,19,70,9,81,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-XwZre-KewA**,3,,,,,,,,,,,,1,1,1,54,1,1,5,2,2,,2,,5,40,20,60,60,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0_YnZnofndw**,2,,,,,,,,,,,,7,2,1,15,2,1,2,6,4,3,,,0,34,42,6,19,36,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs00eT9XUUG1Q**,2,,,,,,,,,,,,1,1,2,25,1,5,5,3,1,,,1,100,2,100,100,2,3,,,,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs015pQZoyg5A**,2,,,,,,,,,,,,1,2,3,16,2,1,3,3,1,,,2,1,0,4,15,0,20,,,,1,1,1,1,5,5,1,1,1,4,6,1,1,1,3,7,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs02BhXExhAGQ**,2,,,,,,,,,,,,1,2,1,16,1,9,5,5,1,,,1,100,0,70,100,0,25,,,,1,1,1,1,6,4,1,1,1,6,4,1,1,1,6,4,1,1,1,6,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs08kS7cZGUqQ**,,,,,,,,,,,,,1,2,4,45,2,3,6,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0aQo0CQq4WA**,1,1,1,2,4,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,7,1,2,4,1,1,2,6,1,,,2,91,15,79,91,0,67,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0aXcSq4K15Q**,3,,,,,,,,,,,,1,1,4,12,1,9,5,2,2,,2,,97,60,70,32,4,55,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1
EQMtgbNuEMs0CDTlAzqNYw**,1,2,2,2,3.5,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,1,4,29,2,9,7,3,3,1,,,84,40,77,42,29,35,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
